lat,lng,address
37.76402,-122.4836,"1259-1263 25th Ave, San Francisco, CA 94122, USA"
37.74398,-122.41036,"1821-1827 Alabama St, San Francisco, CA 94110, USA"
37.77378,-122.43995,"1330-1350 Fell St, San Francisco, CA 94117, USA"
37.77602,-122.42787,"632-698 Buchanan St, San Francisco, CA 94102, USA"
37.74999,-122.50628,"1955 47th Ave, San Francisco, CA 94116, USA"
37.78202,-122.41384,"100-144 Leavenworth St, San Francisco, CA 94102, USA"
37.70199,-122.4601,"144 E Vista Ave, Daly City, CA 94014, USA"
37.78637,-122.44608,"3053 Pine St, San Francisco, CA 94118, USA"
37.77997,-122.41196,"601-699 Stevenson St, San Francisco, CA 94103, USA"
37.78228,-122.49613,"301-399 34th Ave, Golden Gate National Recreation Area, San Francisco, CA 94121, USA"
37.7079,-122.43173,"348 S Hill Blvd, Daly City, CA 94014, USA"
37.72998,-122.45412,"79 Hazelwood Ave, San Francisco, CA 94112, USA"
37.80163,-122.45983,"Lincoln Blvd, Golden Gate National Recreation Area, San Francisco, CA 94129, USA"
37.72595,-122.43604,"90 Harrington St, San Francisco, CA 94112, USA"
37.78202,-122.44395,"1200-1268 Lyon St, San Francisco, CA 94118, USA"
37.72834,-122.49533,"San Francisco, CA 94132, USA"
37.73001,-122.38602,"1601-1699 Jennings St, San Francisco, CA 94124, USA"
37.70617,-122.44036,"1028-1078 San Gabriel Cir, Daly City, CA 94014, USA"
37.78569,-122.44394,"2828 Bush St, San Francisco, CA 94115, USA"
37.76017,-122.39402,"1200-1298 20th St, San Francisco, CA 94107, USA"
37.726,-122.45814,"508 Miramar Ave, San Francisco, CA 94112, USA"
37.76798,-122.43827,"61 Buena Vista Terrace, San Francisco, CA 94117, USA"
37.75401,-122.41974,"134-198 Bartlett St, San Francisco, CA 94110, USA"
37.71322,-122.39525,"Emerald Cove Terrace, San Francisco, CA 94124, USA"
37.732,-122.422,"Alemany Blvd, San Francisco, CA 94112, USA"
37.79824,-122.41219,"906 Vallejo St, San Francisco, CA 94133, USA"
37.79198,-122.48001,"1509-1511 Pershing Dr, Golden Gate National Recreation Area, San Francisco, CA 94129, USA"
37.75816,-122.45002,"35-65 Mountain Spring Ave, San Francisco, CA 94114, USA"
37.72127,-122.48403,"22 Vidal Dr, San Francisco State University, San Francisco, CA 94132, USA"
37.74807,-122.46419,"27-31 Santa Rita Ave, San Francisco, CA 94116, USA"
37.75005,-122.40407,"1487 San Bruno Ave, San Francisco, CA 94110, USA"
37.7199,-122.43808,"2-22 France Ave, San Francisco, CA 94112, USA"
37.73199,-122.492,"4500-4598 Ocean Ave, San Francisco, CA 94132, USA"
37.80626,-122.43574,"3825 Webster St, San Francisco, CA 94123, USA"
37.74,-122.49805,"2501-2539 40th Ave, San Francisco, CA 94116, USA"
37.74385,-122.41963,"105 Coleridge St, San Francisco, CA 94110, USA"
37.70976,-122.44987,"5745-5763 Mission St, San Francisco, CA 94112, USA"
37.7123,-122.4299,"1590-1594 Geneva Ave, San Francisco, CA 94112, USA"
37.80563,-122.42027,"2632-2698 Hyde St, San Francisco, CA 94109, USA"
37.71802,-122.39807,"6651-6699 3rd St, San Francisco, CA 94124, USA"
37.70987,-122.4193,"Santos St & Velasco Ave, San Francisco, CA 94134, USA"
37.78999,-122.41209,"828 Taylor St, San Francisco, CA 94108, USA"
37.744,-122.404,"McKinnon Ave, San Francisco, CA 94124, USA"
